cat_id,category
04d01784-dccb-4dbc-b94f-55536bf1f4b7,Steam Turn Notifications
04e121d2-cecf-4777-8459-9d9284f16f65,Shared/Split Screen PvP
058aa37d-e125-4908-8d3d-da7ee69dfbd7,Remote Play on TV
0f09ce9c-90d9-4c2c-9327-6a9d04f7c5d7,Family Sharing
0f87e6ba-c48e-4cdf-be73-47400e59203d,Multi-player
14ad770c-8a87-4dff-8c02-3bfd079f5b5b,Mods
17b5b948-0984-41c7-b44c-fdaa21d11359,Remote Play on Tablet
198db8d6-69e9-4dec-9b9f-cd16fcc5285a,Captions available
19dad454-28e6-44b8-b92f-3643ae9fe37f,Steam Timeline
1b708c81-d311-4207-b271-9c5d8d81754a,Cross-Platform Multiplayer
2270ba15-8757-410f-8a97-d40350cedfc6,VR Support
27b29547-d772-457f-9ac5-50511f7b8e8d,VR Supported
2e15bd38-d042-4f4b-8083-2029a2472da3,Commentary available
37537ab5-b84e-43bc-9cc7-65487c3a0b3f,HDR available
3dacb395-4969-4dea-b28b-93a920ca911c,LAN PvP
3fa7d678-409c-4f0a-98b3-a8742804e417,PvP
40883cc8-8deb-4faa-95a9-f1db9981085c,Online Co-op
440053a9-6591-4e05-becf-e9d288c327c8,Stats
50696148-adc0-4c45-acba-ada3e9d2779f,Shared/Split Screen Co-op
5d5ee7f2-a89e-4ea8-9ae6-dd608e8e0c0e,VR Only
600e7114-0923-414e-8e34-e0580c62feb3,Shared/Split Screen
689a8e95-e7ed-4fa8-8cb4-7058e91c03b0,Steam Trading Cards
6ac8cc69-16b6-47b7-b8de-18901ea6c242,Includes Source SDK
6e1f8219-f72a-4b52-a9be-379d91ef0987,Steam Workshop
6eb4ee96-4cd3-4c39-9182-c82a919499d0,Includes level editor
6f6641b4-4651-4ee0-8d1a-2d88ff30325e,Partial Controller Support
84cfbb84-5088-4dd2-b0a9-3b78fad54051,Steam Cloud
8558a622-4988-4061-8504-63239bf17b6d,Online PvP
8963c788-7c00-4ddd-90e6-ddfa52c3b252,Remote Play Together
9d9282e8-684c-4839-b343-aa51916b8c5c,Single-player
a5a8c57e-4357-4862-ac1e-36320a547b12,Tracked Controller Support
b9d53332-de3a-46c2-a3ff-21e3e14b34fa,Remote Play on Phone
d7db63c4-7d42-40ad-860d-9105ad301634,Co-op
d9476431-84b1-4a2c-a1b3-cbdf5a5e14fe,Tracked Motion Controller Support
dc0ddfa1-4cad-492a-8cb7-3526cd1474f9,Steam Achievements
dc8baa2d-f2eb-4175-aa3d-3ce1f263c0a7,LAN Co-op
e45de310-b734-404c-8a87-d0dc4826f1b5,Steam Leaderboards
e759a67b-a64c-43e6-8772-b00406a743b4,Full controller support
e8fe436d-d363-44cb-94a3-b7191e936949,MMO
e90b06c4-c06d-40ce-afb6-1f8b8b35a859,SteamVR Collectibles
f03cf99b-3c61-4cbc-a65b-cab187726063,In-App Purchases
f4a8cc7c-a6ff-44ff-838b-e73710496698,Valve Anti-Cheat enabled
f78ca586-cf44-470f-ab72-504b540e0472,Mods (require HL2)
