dev_id,dev_name
00037267-9b6d-4f9d-a228-407474c6ba06,Inertia Game Studios
0008607d-41fb-48d2-95b0-88cee8b3d234,Radmir Kadyrov
00094d82-9ac5-4b58-81f9-73d17e8de2bb,HappyHead Games
000aa49d-db48-4e0b-86ce-a17e402c5ede,Acid Mines Software UG
000b50ad-3c05-4ba2-9ff6-422a88112b27,Infamous Grog
000cabbd-4998-4893-8753-3202a3abdec6,Christoffer Ryrvall
000e645a-826b-4992-a789-c0ee96baa5a1,Late Night Games
000ef70e-3d2b-4821-ae10-6c889eb623ae,"GANBARION Co., Ltd."
000f306b-66b0-448c-a0a3-20864bc901f9,teevy
000fb01d-e336-4b21-8967-d785bdb9077d,Vlad Buculei
001223f0-07b5-43bc-b151-b09c5d23fe84,Codemasters
00131360-063f-419e-ad49-b7e4231eadf5,Boomz Games
00136c19-c491-4d69-8639-61310f8afc6d,1CC Games
0014f906-c6f2-4679-a06e-5bc82b96c5bb,Chih-Hsuan Huang
00158209-799b-4ede-bba6-8b73a7fdfd00,Agawa Ryotaro
00196b77-9bc6-4acd-9b08-d6afd5811c70,Fortysixth Studio
0019807b-416a-4d2d-a685-f97623ae855e,Gravity Whale Games
0019a422-8b3d-4401-80d4-b0f85ba318dd,Deeppink man
001a6e6d-cb8f-4d07-a7ef-0e9ae4bb7c44,"2,000 Damage"
001a8a34-215f-4e9c-a34c-d81e3627ca4a,Emiliano Giuliante
001b7989-a0a6-4865-872e-e51d4c04de04,Spark Plug Games
001c3e88-beea-492e-9b36-a1a5d48ad6a4,Mehmet BarÄ±ÅŸ YÄ±ldÄ±z
001c772b-9d4a-41ed-ae2f-1c841e3187ea,NeverBUL
001f3998-a487-4b47-8020-3beac5563156,ARS
00205967-3415-433c-90f0-4afc51c01528,Cephalopod1112
0020708d-fb51-47ad-a85a-5a27d40d9eca,jjGame
0020ff70-d3f6-4a78-85a2-189ef180fcbd,inkakamu
0021bd88-e764-4a7c-9e3d-1ace605defff,Pigeons Interactive
0022b868-ca9e-4a3f-9f14-b011a3a11a51,Felipe Sanchez
00233db1-4e6d-42d6-bf48-c77e0ce972d9,Snoozing Pixel LLC
0024d9de-b9a4-4d1a-963d-48dd9771a073,Celianna
0024f431-a6fd-4b5a-ad56-7acdf8cef555,Adreamation Games Studio
0026532d-8f20-4304-9c6b-b01083b806b9,BJ Studio
0026aaab-b316-4785-bcf0-a98c864776b3,é¾™é­‚åˆ›ä¸–-æ¿€æˆ˜ç‰ˆ
0026d2a3-437c-4f07-a617-4c1c9edec6ed,æ ªå¼�ä¼šç¤¾é›„ãƒ—ãƒ­ãƒ€ã‚¯ã‚·ãƒ§ãƒ³
002787e0-098a-4811-b656-02eed8dfcc23,çŽ‹ä¾¯å°†ç›¸é¡¹ç›®ç»„
00278a20-b607-49c9-ba5a-09890aac323c,KoKoGames
00284c8c-715e-4fd8-8806-0ca1516ca0cc,HoldPaw .Ltd
0028885d-ca0e-4a47-a553-9085421f0e7f,ä¸�æ€�è­°ã�ªä¸–ç•Œã�®è¦³å…‰æ—¥è¨˜
0028a5c8-cd12-4466-b0e2-1cc1c9ba516f,0-Game Studios
00297021-bd36-4d16-a8f2-287f7b38e7bd,Cerulean Interactive
00297fac-e12a-4304-82e0-7786512822bb,RadLabGaming
002d5745-0d8d-4dd4-99c2-fa56a603c0d2,DataSmugglers
002ded10-bdec-426a-9e9c-7beeb23065b3,RealPeach
002dfe22-04ed-41b1-9828-7cc70de3244e,NormalGuy
002e713e-19a9-4da4-a586-9ed6653a6740,Munchkin's Lair
00315c1c-c9f4-4735-a73d-1c9ae5353dff,RÃ©mi Fusade
00319530-8e7d-454e-8e57-3d25cab2f060,Nathan Ralph
003460cf-891b-4f86-88d8-27817452f224,Cian Moriarty
0034e892-d128-421f-af90-b96fc241d64a,LÃ–RN
0036d568-d00b-4e21-9694-fe1931848a84,Daniel Wiitanen
